Invoice Number,Customer,Invoice Date,Due Date,Amount (GBP),Paid (GBP),Balance (GBP),Days Outstanding,Ageing Bucket,Status,Dispute Flag
INV-0028,Acme Corp,2024-03-11,2024-04-10,149727.82,108456.05,41271.77,659,90+,Outstanding,N
INV-0029,SmartSystems,2024-09-26,2024-10-26,143719.4,93522.51,50196.89,460,90+,Outstanding,N
INV-0030,SmartSystems,2024-09-29,2024-10-29,56371.61,35904.82,20466.79,457,90+,Outstanding,N
INV-0031,InnovateCo,2024-11-08,2024-12-08,143813.92,99759.7,44054.22,417,90+,Outstanding,N
INV-0032,InnovateCo,2024-10-12,2024-11-11,141515.4,87654.59,53860.81,444,90+,Outstanding,N
INV-0033,InnovateCo,2024-05-27,2024-06-26,105084.79,82172.14,22912.65,582,90+,Outstanding,N
INV-0034,SmartSystems,2024-06-11,2024-07-11,86270.7,59692.54,26578.16,567,90+,Outstanding,N
INV-0035,InnovateCo,2024-05-27,2024-06-26,103110.23,56581.7,46528.53,582,90+,Outstanding,N
INV-0036,FutureTech,2024-07-21,2024-08-20,143418.29,118657.26,24761.03,527,90+,Outstanding,N
INV-0037,DataDrive Ltd,2024-05-28,2024-06-27,16459.27,14519.14,1940.13,581,90+,Outstanding,N
INV-0038,SmartSystems,2024-12-01,2024-12-31,74466.49,44871.84,29594.65,394,90+,Outstanding,N
INV-0039,CloudFirst,2024-10-02,2024-11-01,86492.61,52626.7,33865.91,454,90+,Outstanding,N
INV-0040,InnovateCo,2024-03-11,2024-04-10,112429.19,61126.7,51302.49,659,90+,Outstanding,N
INV-0041,CloudFirst,2024-05-04,2024-06-03,136251.71,70892.61,65359.1,605,90+,Outstanding,N
INV-0042,CloudFirst,2024-11-22,2024-12-22,19528.7,11583.15,7945.55,403,90+,Outstanding,N
INV-0043,DigitalEdge,2024-08-29,2024-09-28,116761.08,63076.43,53684.65,488,90+,Outstanding,N
INV-0044,Acme Corp,2024-10-08,2024-11-07,99669.46,4722.57,94946.89,448,90+,Disputed,Y
INV-0045,SmartSystems,2024-09-01,2024-10-01,114607.1,87126.09,27481.01,485,90+,Outstanding,N
INV-0046,InnovateCo,2024-06-13,2024-07-13,13578.58,8339.5,5239.08,565,90+,Outstanding,N
INV-0047,TechFlow Inc,2024-11-29,2024-12-29,109852.06,78441.06,31411.0,396,90+,Outstanding,N
INV-0048,Acme Corp,2024-03-30,2024-04-29,140418.78,117255.57,23163.21,640,90+,Outstanding,N
INV-0049,Acme Corp,2024-07-22,2024-08-21,113605.46,6349.81,107255.65,526,90+,Disputed,Y
INV-0050,InnovateCo,2024-01-20,2024-02-19,87354.47,44001.05,43353.42,710,90+,Outstanding,N
INV-0051,TechFlow Inc,2024-06-20,2024-07-20,83778.57,75035.42,8743.15,558,90+,Outstanding,N
INV-0052,SmartSystems,2024-03-09,2024-04-08,72863.01,61235.81,11627.2,661,90+,Outstanding,N
INV-0053,CloudFirst,2024-02-27,2024-03-28,111012.29,70190.14,40822.15,672,90+,Outstanding,N
INV-0054,InnovateCo,2024-04-05,2024-05-05,53881.27,27244.18,26637.09,634,90+,Outstanding,N
INV-0055,InnovateCo,2024-10-17,2024-11-16,33008.39,25408.55,7599.84,439,90+,Outstanding,N
INV-0056,CoreLogic,2024-11-23,2024-12-23,124913.52,107277.87,17635.65,402,90+,Outstanding,N
INV-0057,NextGen Solutions,2024-06-16,2024-07-16,102042.1,54561.41,47480.69,562,90+,Outstanding,N
INV-0058,DataDrive Ltd,2024-03-12,2024-04-11,5990.37,5237.56,752.81,658,90+,Outstanding,N
INV-0059,FutureTech,2024-04-30,2024-05-30,43714.18,29668.56,14045.62,609,90+,Outstanding,N
INV-0060,DigitalEdge,2024-06-03,2024-07-03,88067.22,64551.89,23515.33,575,90+,Outstanding,N
INV-0061,InnovateCo,2024-11-30,2024-12-30,39263.87,25278.9,13984.97,395,90+,Outstanding,N
INV-0062,TechFlow Inc,2024-08-26,2024-09-25,77865.47,51559.92,26305.55,491,90+,Outstanding,N
INV-0063,InnovateCo,2024-03-01,2024-03-31,141392.17,106819.6,34572.57,669,90+,Outstanding,N
INV-0064,DigitalEdge,2024-11-10,2024-12-10,143817.28,84613.41,59203.87,415,90+,Outstanding,N
INV-0065,SmartSystems,2024-03-19,2024-04-18,148381.5,101194.92,47186.58,651,90+,Outstanding,N
INV-0066,DigitalEdge,2024-07-31,2024-08-30,137355.55,107243.96,30111.59,517,90+,Outstanding,N
INV-0067,NextGen Solutions,2024-12-06,2025-01-05,115469.64,95867.68,19601.96,389,90+,Outstanding,N
INV-0068,CoreLogic,2024-02-11,2024-03-12,81585.1,57941.96,23643.14,688,90+,Outstanding,N
INV-0069,DigitalEdge,2024-02-09,2024-03-10,21270.27,18439.15,2831.12,690,90+,Outstanding,N
INV-0070,NextGen Solutions,2024-09-15,2024-10-15,82815.72,48104.56,34711.16,471,90+,Outstanding,N
INV-0071,DataDrive Ltd,2024-06-16,2024-07-16,103642.81,13738.08,89904.73,562,90+,Disputed,Y
INV-0072,CoreLogic,2024-09-07,2024-10-07,79004.43,42376.13,36628.3,479,90+,Outstanding,N
INV-0073,Acme Corp,2024-08-20,2024-09-19,86767.12,57801.64,28965.48,497,90+,Outstanding,N
INV-0074,NextGen Solutions,2024-08-24,2024-09-23,49684.59,38212.77,11471.82,493,90+,Outstanding,N
INV-0075,Acme Corp,2024-07-21,2024-08-20,36595.69,18341.99,18253.7,527,90+,Outstanding,N
INV-0076,TechFlow Inc,2024-01-24,2024-02-23,83468.71,65118.44,18350.27,706,90+,Outstanding,N
INV-0077,Acme Corp,2024-02-05,2024-03-06,46628.15,6603.54,40024.61,694,90+,Disputed,Y
INV-0078,DataDrive Ltd,2024-03-10,2024-04-09,98652.72,28954.57,69698.15,660,90+,Disputed,Y
INV-0079,FutureTech,2024-07-10,2024-08-09,60459.54,54240.83,6218.71,538,90+,Outstanding,N
INV-0080,FutureTech,2024-07-11,2024-08-10,144800.93,77048.57,67752.36,537,90+,Outstanding,N
