Employee ID,Employee Name,Role,Department,Week Ending,Available Hours,Billable Hours,Non-Billable Hours,PTO Hours,Utilisation %,Bill Rate (GBP),Cost Rate (GBP),Employee Type
EMP-037,Employee 37,Senior Consultant,Infrastructure,2024-12-22,45,27.4,13.5,4.1,60.9,950,560,FTE
EMP-038,Employee 38,Manager,Infrastructure,2024-12-22,45,34.2,8.0,2.9,75.9,1160,840,FTE
EMP-039,Employee 39,Senior Manager,Cloud,2024-12-22,45,31.4,11.1,2.5,69.7,1370,510,FTE
EMP-040,Employee 40,Manager,Security,2024-12-22,45,30.8,11.9,2.4,68.4,1650,620,FTE
EMP-041,Employee 41,Associate,Security,2024-12-22,45,32.1,9.7,3.2,71.4,1880,500,FTE
EMP-042,Employee 42,Associate,Security,2024-12-22,45,37.1,3.4,4.6,82.3,1450,540,FTE
EMP-043,Employee 43,Senior Consultant,Applications,2024-12-22,45,27.6,14.8,2.6,61.4,830,630,FTE
EMP-044,Employee 44,Associate,Infrastructure,2024-12-22,45,29.8,10.0,5.2,66.2,960,790,FTE
EMP-045,Employee 45,Manager,Applications,2024-12-22,45,25.9,15.6,3.6,57.5,1470,660,FTE
EMP-046,Employee 46,Manager,Security,2024-12-22,45,35.7,7.0,2.3,79.3,1620,440,FTE
EMP-047,Employee 47,Consultant,Infrastructure,2024-12-22,45,33.8,7.8,3.4,75.2,1610,770,FTE
EMP-048,Employee 48,Senior Consultant,Cloud,2024-12-22,45,37.6,3.7,3.7,83.5,1860,470,FTE
EMP-049,Employee 49,Consultant,Data,2024-12-22,45,29.0,13.4,2.6,64.3,1240,1000,FTE
EMP-050,Employee 50,Senior Manager,Security,2024-12-22,45,36.6,3.0,5.4,81.4,1050,800,FTE
EMP-051,Employee 51,Senior Manager,Security,2024-12-22,40,34.2,5.8,0.0,85.5,1580,740,Contractor
EMP-052,Employee 52,Senior Consultant,Infrastructure,2024-12-22,40,37.1,2.9,0.0,92.8,2000,770,Contractor
EMP-053,Employee 53,Senior Consultant,Infrastructure,2024-12-22,40,37.3,2.7,0.0,93.2,1230,930,Contractor
EMP-054,Employee 54,Senior Manager,Cloud,2024-12-22,40,32.3,7.7,0.0,80.8,900,420,Contractor
EMP-055,Employee 55,Senior Manager,Security,2024-12-22,40,38.2,1.8,0.0,95.4,1630,530,Contractor
EMP-056,Employee 56,Manager,Cloud,2024-12-22,40,35.3,4.7,0.0,88.3,1430,960,Contractor
EMP-057,Employee 57,Associate,Security,2024-12-22,40,34.3,5.7,0.0,85.8,1410,550,Contractor
EMP-058,Employee 58,Manager,Security,2024-12-22,40,37.5,2.5,0.0,93.7,1380,440,Contractor
EMP-059,Employee 59,Associate,Applications,2024-12-22,40,33.3,6.7,0.0,83.2,1410,690,Contractor
EMP-060,Employee 60,Senior Consultant,Security,2024-12-22,40,36.9,3.1,0.0,92.1,1900,850,Contractor
EMP-061,Employee 61,Consultant,Security,2024-12-22,40,39.9,0.1,0.0,99.8,1310,480,Contractor
EMP-062,Employee 62,Manager,Cloud,2024-12-22,40,36.1,3.9,0.0,90.3,1200,550,Contractor
EMP-063,Employee 63,Consultant,Data,2024-12-22,40,34.1,5.9,0.0,85.3,980,460,Contractor
EMP-064,Employee 64,Senior Consultant,Infrastructure,2024-12-22,40,39.6,0.4,0.0,98.9,1330,550,Contractor
EMP-065,Employee 65,Senior Manager,Security,2024-12-22,40,39.2,0.8,0.0,98.0,1990,760,Contractor
